"Date","AccountName","Hostname","IPv4Address","OperatingSystem","Connectivity","LastConnectedAt"
"2026-08-11","Grey Eagle","FOURNIEDELL","10.25.0.33","Microsoft Windows 11 Pro 64-bit 2009 26200","isolated","2026-07-30T10:01:23.316Z"
"2026-08-11","Grey Eagle","MANERW10","10.25.1.233","Microsoft Windows 11 Pro 64-bit 2009 26200","isolated","2026-07-30T10:23:18.131Z"
"2026-08-11","GWC","GWC-DT-0281","10.40.8.125","Microsoft Windows 10 Pro 64-bit 2009 19045","isolated","2026-08-04T15:21:07.884Z"
