"Customer","Open Escalations","Oldest (Days)"
"Brindlee Fire Services","4","82.8"
"Control by Web","1","82.8"
"J&A Engineering","1","47"
"Coleto Brands","7","34.9"
"Galt Pharmaceuticals","2","0.7"
"Total","15",""
