"Escalation ID","Customer","Severity","Type","Subtype","Subject","Status","Created","Days Waiting"
"676334","Brindlee Fire Services","high","Microsoft 365 Login","NORD_VPN","Unexpected VPN - Nord VPN","sent","2026-05-20 15:39:24","69"
"681754","SECO","high","Microsoft 365 Login","NORD_VPN","Unexpected VPN - Nord VPN","sent","2026-05-22 13:37:05","67.1"
"764320","InReach","high","Microsoft 365 Login","PROTON_VPN","Unexpected VPN - Proton VPN","sent","2026-07-01 11:04:38","27.2"
"775778","Coleto Brands","high","Microsoft 365 Login","IN","Unexpected Country - India","sent","2026-07-07 14:16:48","21.1"
"776626","Coleto Brands","high","Microsoft 365 Login","HK","Unexpected Country - Hong Kong","sent","2026-07-07 20:19:43","20.9"
"787360","Coleto Brands","high","Microsoft 365 Login","CA","Unexpected Country - Canada","sent","2026-07-12 15:31:57","16.1"
"798256","Galt Pharmaceuticals","high","Microsoft 365 Login","NORD_VPN","Unexpected VPN - Nord VPN","sent","2026-07-16 20:49:43","11.8"
"802751","Galt Pharmaceuticals","high","Microsoft 365 Login","EXPRESS_VPN","Unexpected VPN - Express VPN","sent","2026-07-20 11:03:46","8.2"
"816867","Brindlee Fire Services","high","Microsoft 365 Login","MULLVAD_VPN","Unexpected VPN - Mullvad VPN","sent","2026-07-28 12:02:53","0.2"
