"Customer","Open Escalations","Oldest (Days)"
"Brindlee Fire Services","14","81.8"
"Control by Web","1","81.8"
"Worley, Schilling, & Randall","1","80"
"SECO","1","79.9"
"SKL'D Staffing","1","66.1"
"Pagnotti","1","47.9"
"InReach","1","40"
"Coleto Brands","13","33.9"
"Galt Pharmaceuticals","3","24.6"
"General Wholesale Company","1","4.8"
"Total","37",""
