"Date","SiteName","ComputerName","IsActive","IsUpToDate","Infected","ActiveThreats","Quarantine"
"2026-08-11","J&A Engineering LLC","JAE-Files","True","True","True","1","False"
"2026-08-11","Kichler HQ","CNSH-LWGFGQ","False","True","True","1","False"
"2026-08-11","Kichler HQ","COLETO-PF6AFCRP","False","True","True","4","False"
"2026-08-11","ServIT, Inc._Elite Administration and Insurance Group*","EliteAdminHyperV","True","True","True","3","False"
