"PolicyID","Name","Action","Status","UtmStatus","SecurityProfiles","ProfileCount","Antivirus","IPS","WebFilter","DNSFilter","AppControl","SSLInspection","FileFilter","EmailFilter","VoIP","ICAP","WAF","CASB","VideoFilter","ProfileGroup"
"2","SSLVPN > LAN","accept","enable","disable","SSL/SSH Inspection:no-inspection","1","","","","","","no-inspection","","","","","","","",""
"3","Cameras > WAN","accept","enable","enable","Web Filter:monitor-all; SSL/SSH Inspection:no-inspection","2","","","monitor-all","","","no-inspection","","","","","","","",""
"4","Cameras > Judge","accept","enable","disable","SSL/SSH Inspection:no-inspection","1","","","","","","no-inspection","","","","","","","",""
"7","Auvik > Security LAN","accept","enable","disable","SSL/SSH Inspection:no-inspection","1","","","","","","no-inspection","","","","","","","",""
"5","LAN > Security LAN","accept","enable","disable","SSL/SSH Inspection:no-inspection","1","","","","","","no-inspection","","","","","","","",""
"6","WLAN > WAN","accept","enable","enable","Web Filter:default; SSL/SSH Inspection:no-inspection","2","","","default","","","no-inspection","","","","","","","",""
"8","SSL VPN > WAN","accept","disable","disable","SSL/SSH Inspection:no-inspection","1","","","","","","no-inspection","","","","","","","",""
"9","POPDOCK","accept","enable","disable","SSL/SSH Inspection:no-inspection","1","","","","","","no-inspection","","","","","","","",""
"10","LAN > WAN","accept","enable","enable","Antivirus:default; IPS:default; Web Filter:default; DNS Filter:default; App Control:default; SSL/SSH Inspection:certificate-inspection","6","default","default","default","default","default","certificate-inspection","","","","","","","",""
