"PolicyID","Name","Action","Status","UtmStatus","SecurityProfiles","ProfileCount","Antivirus","IPS","WebFilter","DNSFilter","AppControl","SSLInspection","FileFilter","EmailFilter","VoIP","ICAP","WAF","CASB","VideoFilter","ProfileGroup"
"1","LAN > WAN","accept","enable","enable","Antivirus:ServIT Best Practice; IPS:ServIT Intrusion Filter; Web Filter:ServIT Default Web Filter; DNS Filter:ServIT DNS Filter; App Control:ServIT Application Control Filter; SSL/SSH Inspection:certificate-inspection","6","ServIT Best Practice","ServIT Intrusion Filter","ServIT Default Web Filter","ServIT DNS Filter","ServIT Application Control Filter","certificate-inspection","","","","","","","",""
"5","WAN > LAN","accept","disable","enable","Antivirus:ServIT Best Practice; IPS:ServIT Intrusion Filter; Web Filter:ServIT Default Web Filter; DNS Filter:ServIT DNS Filter; App Control:ServIT Application Control Filter; SSL/SSH Inspection:certificate-inspection","6","ServIT Best Practice","ServIT Intrusion Filter","ServIT Default Web Filter","ServIT DNS Filter","ServIT Application Control Filter","certificate-inspection","","","","","","","",""
"3","Guest Wireless > WAN","accept","enable","enable","Antivirus:ServIT Best Practice; IPS:ServIT Intrusion Filter; Web Filter:ServIT Default Web Filter; DNS Filter:ServIT DNS Filter; App Control:ServIT Application Control Filter; SSL/SSH Inspection:certificate-inspection","6","ServIT Best Practice","ServIT Intrusion Filter","ServIT Default Web Filter","ServIT DNS Filter","ServIT Application Control Filter","certificate-inspection","","","","","","","",""
"4","ServIT NMS > LAN","accept","enable","enable","Web Filter:monitor-all; SSL/SSH Inspection:certificate-inspection","2","","","monitor-all","","","certificate-inspection","","","","","","","",""
"6","","accept","disable","enable","Web Filter:monitor-all; SSL/SSH Inspection:certificate-inspection","2","","","monitor-all","","","certificate-inspection","","","","","","","",""
"8","Scanner NAT rule","accept","disable","disable","SSL/SSH Inspection:no-inspection","1","","","","","","no-inspection","","","","","","","",""
