"ActivityDateTime","ActivityDisplayName","EventId","InitiatedBy","Category","CorrelationId","LoggedByService","OperationType","Result","TargetId","TargetDisplayName","TargetType","TargetUPN","ModifiedProperty","OldValue","NewValue","AdditionalDetails","UserAgent"
"2026-08-04T01:29:06.6755651Z","Read BitLocker key","Device Registration Service_d51bfbb6-374f-45d3-a10f-670772dfeded_0QBJL_1665663",,"KeyManagement","d51bfbb6-374f-45d3-a10f-670772dfeded","Device Registration Service","Get","success","a5e84ea9-729e-4a50-bb96-37dc20442863",,,,,,,"AdditionalInfo: Successfully retrieved BitLocker recovery key associated with key ID: 'a5e84ea9-729e-4a50-bb96-37dc20442863'. Backed up from device: '1fb3bacd-a8fc-47a3-9d96-fb60f8e26020'; Device Id: 1fb3bacd-a8fc-47a3-9d96-fb60f8e26020","NONISV|AFITechnologies|AFIBackup/5.0"
"2026-08-04T01:29:06.3782392Z","Read BitLocker key","Device Registration Service_c1f8d606-c739-4aca-93f5-c10de4f72739_G91C9_2660751",,"KeyManagement","c1f8d606-c739-4aca-93f5-c10de4f72739","Device Registration Service","Get","success","a74cd452-5d6c-4687-8cbf-b17c3260664e",,,,,,,"AdditionalInfo: Successfully retrieved BitLocker recovery key associated with key ID: 'a74cd452-5d6c-4687-8cbf-b17c3260664e'. Backed up from device: '3acf7044-c6bf-4594-9026-cc05addd9031'; Device Id: 3acf7044-c6bf-4594-9026-cc05addd9031","NONISV|AFITechnologies|AFIBackup/5.0"
"2026-08-04T01:29:06.1181223Z","Read BitLocker key","Device Registration Service_da6dd575-b11d-49aa-9a76-7d5e8f991a18_7AXHP_13840555",,"KeyManagement","da6dd575-b11d-49aa-9a76-7d5e8f991a18","Device Registration Service","Get","success","bdbf7278-6daf-44f3-b936-8c9045696216",,,,,,,"AdditionalInfo: Successfully retrieved BitLocker recovery key associated with key ID: 'bdbf7278-6daf-44f3-b936-8c9045696216'. Backed up from device: '2de8426a-1c14-4f26-a15c-a371ea54effe'; Device Id: 2de8426a-1c14-4f26-a15c-a371ea54effe","NONISV|AFITechnologies|AFIBackup/5.0"
"2026-08-04T01:29:05.9092103Z","Read BitLocker key","Device Registration Service_68dd7e13-7ba9-49db-b779-170a973d4f7d_JA9Y7_31431402",,"KeyManagement","68dd7e13-7ba9-49db-b779-170a973d4f7d","Device Registration Service","Get","success","28d9a4e1-b323-410a-b568-afb00b89dccd",,,,,,,"AdditionalInfo: Successfully retrieved BitLocker recovery key associated with key ID: '28d9a4e1-b323-410a-b568-afb00b89dccd'. Backed up from device: 'a9034e60-5205-4875-baf1-e656c39d1187'; Device Id: a9034e60-5205-4875-baf1-e656c39d1187","NONISV|AFITechnologies|AFIBackup/5.0"
"2026-08-04T01:29:05.7762928Z","Read BitLocker key","Device Registration Service_0577ab1e-b211-4ab1-a102-f127fd64a44b_LPJRL_25679986",,"KeyManagement","0577ab1e-b211-4ab1-a102-f127fd64a44b","Device Registration Service","Get","success","3e8fb787-4276-4d93-96d8-ed4c63f84c87",,,,,,,"AdditionalInfo: Successfully retrieved BitLocker recovery key associated with key ID: '3e8fb787-4276-4d93-96d8-ed4c63f84c87'. Backed up from device: '3def13b5-3a33-41e0-ac8d-2408f1be14cf'; Device Id: 3def13b5-3a33-41e0-ac8d-2408f1be14cf","NONISV|AFITechnologies|AFIBackup/5.0"
"2026-08-04T01:29:05.6518855Z","Read BitLocker key","Device Registration Service_f3dcf2b1-f65b-4050-9643-fb041e79e994_H0ET6_22784005",,"KeyManagement","f3dcf2b1-f65b-4050-9643-fb041e79e994","Device Registration Service","Get","success","ff9a3754-4eee-4752-b945-8613b1e54a49",,,,,,,"AdditionalInfo: Successfully retrieved BitLocker recovery key associated with key ID: 'ff9a3754-4eee-4752-b945-8613b1e54a49'. Backed up from device: 'bc7374e3-f031-4efa-95c8-64485e11cc7c'; Device Id: bc7374e3-f031-4efa-95c8-64485e11cc7c","NONISV|AFITechnologies|AFIBackup/5.0"
"2026-08-04T01:29:05.519768Z","Read BitLocker key","Device Registration Service_90c39937-157a-468d-bee5-f49ca47e30fd_0QBJL_1664986",,"KeyManagement","90c39937-157a-468d-bee5-f49ca47e30fd","Device Registration Service","Get","success","2432df43-808b-4c5c-a0ae-7920df708367",,,,,,,"AdditionalInfo: Successfully retrieved BitLocker recovery key associated with key ID: '2432df43-808b-4c5c-a0ae-7920df708367'. Backed up from device: '34edd6b9-1fb6-460d-a178-29d5e3d3c040'; Device Id: 34edd6b9-1fb6-460d-a178-29d5e3d3c040","NONISV|AFITechnologies|AFIBackup/5.0"
"2026-08-04T01:29:05.2786381Z","Read BitLocker key","Device Registration Service_6928530a-6581-4f36-9198-ece1dded765c_H0ET6_22783671",,"KeyManagement","6928530a-6581-4f36-9198-ece1dded765c","Device Registration Service","Get","success","58f8f2b2-79d3-439f-bc3f-e870d07a4b97",,,,,,,"AdditionalInfo: Successfully retrieved BitLocker recovery key associated with key ID: '58f8f2b2-79d3-439f-bc3f-e870d07a4b97'. Backed up from device: '96b5d6dc-e36d-480c-9d95-ea47db6fb789'; Device Id: 96b5d6dc-e36d-480c-9d95-ea47db6fb789","NONISV|AFITechnologies|AFIBackup/5.0"
"2026-08-04T01:29:05.0228781Z","Read BitLocker key","Device Registration Service_221aee8a-7694-4e7b-ad62-9bcebebfc726_WNKRY_32755937",,"KeyManagement","221aee8a-7694-4e7b-ad62-9bcebebfc726","Device Registration Service","Get","success","d3dc74bc-422b-426b-bea2-ed74e2ffd741",,,,,,,"AdditionalInfo: Successfully retrieved BitLocker recovery key associated with key ID: 'd3dc74bc-422b-426b-bea2-ed74e2ffd741'. Backed up from device: '82431570-166a-488b-9fd7-55205e82ffda'; Device Id: 82431570-166a-488b-9fd7-55205e82ffda","NONISV|AFITechnologies|AFIBackup/5.0"
"2026-08-04T01:29:04.805496Z","Read BitLocker key","Device Registration Service_f1528620-000c-4274-97fe-a36d218406cb_DX9PZ_16477527",,"KeyManagement","f1528620-000c-4274-97fe-a36d218406cb","Device Registration Service","Get","success","e63f02fc-309b-4c7d-9c17-8f3a19c6fe66",,,,,,,"AdditionalInfo: Successfully retrieved BitLocker recovery key associated with key ID: 'e63f02fc-309b-4c7d-9c17-8f3a19c6fe66'. Backed up from device: '86d0fcd4-31eb-42da-883d-2f16d1ad72e1'; Device Id: 86d0fcd4-31eb-42da-883d-2f16d1ad72e1","NONISV|AFITechnologies|AFIBackup/5.0"
