Name,Path,IsPython,Frequency,DayOfWeek,DayOfMonth,Enabled,Arguments
Invoke-CoordinatorReports,C:\GitHub\ai-dev\project-management\01-coordinator\Invoke-CoordinatorReports.ps1,FALSE,Daily,,,TRUE,
Analyze-ProofpointWhitelistRedundancy,C:\Scripts\Proofpoint\Analyze-ProofpointWhitelistRedundancy.ps1,FALSE,Weekly,Monday,,FALSE,
Quarterly-ClientReview,C:\Scripts\Reviews\Quarterly-ClientReview.ps1,FALSE,Quarterly,,1,FALSE,
